image_name,lpips_score,ssim_score,discarded_lpips_score,discarded_ssim_score
ChestCT_347.png,0.4414,0.3769,0.3660,0.4250
ChestCT_348.png,0.3358,0.4776,0.3742,0.4625
ChestCT_349.png,0.3477,0.4504,0.3975,0.3868
ChestCT_350.png,0.4469,0.3534,0.3726,0.3964
ChestCT_351.png,0.4518,0.3673,0.3650,0.4234
ChestCT_352.png,0.4630,0.3432,0.3719,0.4106
ChestCT_353.png,0.4490,0.3520,0.3226,0.4418
ChestCT_354.png,0.4600,0.3432,0.3430,0.4315
ChestCT_355.png,0.4463,0.3459,0.3877,0.3785
ChestCT_356.png,0.4631,0.3424,0.3645,0.4229
ChestCT_357.png,0.4685,0.3374,0.3594,0.4254
ChestCT_358.png,0.3492,0.3752,0.3778,0.3931
ChestCT_359.png,0.4219,0.3506,0.3803,0.3793
ChestCT_360.png,0.4444,0.3655,0.3108,0.4543
ChestCT_361.png,0.4439,0.3572,0.3046,0.4446
ChestCT_362.png,0.4311,0.3319,0.3905,0.3648
ChestCT_363.png,0.4500,0.3816,0.3896,0.4550
ChestCT_364.png,0.3497,0.3673,0.3850,0.3769
ChestCT_365.png,0.4496,0.3961,0.3869,0.4326
ChestCT_366.png,0.4450,0.3933,0.3791,0.4403
ChestCT_367.png,0.4291,0.3344,0.3828,0.3671
ChestCT_368.png,0.3437,0.3996,0.3895,0.3684
ChestCT_369.png,0.4108,0.4136,0.3984,0.4121
ChestCT_370.png,0.4058,0.3976,0.3853,0.3894
ChestCT_371.png,0.3469,0.3950,0.3867,0.3694
ChestCT_372.png,0.4219,0.3899,0.3928,0.4072
ChestCT_373.png,0.3365,0.4082,0.3973,0.3734
ChestCT_374.png,0.3283,0.4445,0.3756,0.4191
ChestCT_375.png,0.4343,0.3975,0.3790,0.4260
ChestCT_376.png,0.4070,0.3726,0.3736,0.4184
ChestCT_377.png,0.3955,0.4005,0.3680,0.4345
ChestCT_378.png,0.4113,0.3643,0.3724,0.4180
ChestCT_379.png,0.4150,0.3572,0.3777,0.4127
ChestCT_380.png,0.4028,0.4106,0.3306,0.4507
ChestCT_381.png,0.3998,0.4188,0.3453,0.4535
ChestCT_382.png,0.4011,0.4098,0.3665,0.4355
ChestCT_383.png,0.4024,0.4036,0.3643,0.4324
ChestCT_384.png,0.4058,0.4180,0.3460,0.4533
ChestCT_385.png,0.3957,0.4072,0.3654,0.4374
ChestCT_386.png,0.4039,0.4066,0.3376,0.4455
ChestCT_387.png,0.3959,0.4264,0.3371,0.4609
ChestCT_388.png,0.3984,0.4078,0.3659,0.4339
ChestCT_389.png,0.4075,0.3224,0.4064,0.3924
ChestCT_390.png,0.4206,0.3395,0.3906,0.3917
ChestCT_391.png,0.4533,0.3159,0.3968,0.3604
ChestCT_392.png,0.4607,0.3270,0.3944,0.3846
ChestCT_393.png,0.4180,0.3350,0.3894,0.3904
ChestCT_394.png,0.4086,0.3128,0.4066,0.3841
ChestCT_395.png,0.4148,0.3491,0.3813,0.4057
ChestCT_396.png,0.4107,0.3135,0.4090,0.3843
ChestCT_397.png,0.4108,0.3057,0.4145,0.3778
ChestCT_398.png,0.4162,0.3283,0.3803,0.3873
